Id,Screen_name,Created_at,Retweet,Text,Hashtags,Sentiment,Compound,Ents
1607526673100201986,Frances97246861,2022-12-26 23:59:59+00:00,132,🚨🚨Oriana dava per vinta dappertutto e Antonella sfavoritissima. Voglio una spiegazione.🚨🚨 GFvip  GFVIPParty  Gfvip7  oriele  orianistas  nikiters  nikita  Denzzzer  incorvassi      FATE GIRARE📢📢 ,#GFvip#GFVIPParty#Gfvip7#oriele#orianistas#nikiters#nikita#Denzzzer#incorvassi,3,0.0,Oriana;Antonella
1607526670038097920,irma_elettra,2022-12-26 23:59:59+00:00,278,"Solei: “Io non ho studiato latino però google translate, una parola che posso dire ad Antonella è regrede, cioè fly down baby”LA BIONDINA BASTARDAAAA 🔥 gfvip  SoleArmy  incorvassi ",#gfvip#SoleArmy#incorvassi,1,-0.6597,Antonella
1607526666003152896,Adri68873216,2022-12-26 23:59:58+00:00,32,"Quando segui il gf, la diretta, voti a manetta Oriana e poi la preferita è Antonella  gfvip  incorvassi  televototruccato ",#gfvip#incorvassi#televototruccato,3,0.0,Oriana;Antonella
1607526663541194755,Elisabe82157594,2022-12-26 23:59:57+00:00,4," gfvip Se non ci fosse stata Nikita con la sua professionalità, dedizione e  bravura, ve lo scordavate il balletto di Natale   gfvip  nikiters  iostoconnikita",#gfvip#gfvip#nikiters#iostoconnikita,3,0.0,Nikita
1607526661544607744,cinzia81670755,2022-12-26 23:59:57+00:00,41," state proteggendo e alimentando questo essere sgradevole e indecente, dovete fallire  gfvip  televototruccato  incorvassi ",#gfvip#televototruccato#incorvassi,3,0.0,
1607526661540687873,ugly_dont_exist,2022-12-26 23:59:57+00:00,17,Pierpaolo: C’è da dire che ha creato più dinamiche Dana in due giorni che Ciupilan in 3 mesi L’HA DETTO DAVVERO VI PREGO gfvip  donnalisi  prelemi ,#gfvip#donnalisi#prelemi,3,-0.1531,
1607526659967811587,LittleEmme01,2022-12-26 23:59:56+00:00,10,"“Mi chiama regina dei reality, quando tre mesi fa era in un reality e manco tempo di mangiare il sushi con gli amici che sei già qua” GAME, SET, MATCH.Fiordelisi 🔥 Donnalisi  GFvip",#Donnalisi#GFvip,2,-0.34,
1607526659242037251,theblondes4,2022-12-26 23:59:56+00:00,25,"A chi pensa che il televoto sia falsato, vi rispondiamo così: Antonellapreferita  iostoconantonella  donnalisi  gfvip ",#Antonellapreferita#iostoconantonella#donnalisi#gfvip,3,0.0,Antonella
1607526658415931393,Bho98496481,2022-12-26 23:59:56+00:00,1,E comunque la tonta ci ha azzeccato su tutte le persone lì dentro e fa lezioni non solo di Latino ma anche di vita a chi ha il doppio dei suoi anni.  gfvip  fiorde  donnalisi,#gfvip#fiorde#donnalisi,5,0.5859,
1607526656222326785,Ros68899676,2022-12-26 23:59:55+00:00,3,Io che contatto i miei legali per avere il rimborso dei miei voti per Oriana  gfvip  incorvassi  televototruccato ,#gfvip#incorvassi#televototruccato,3,0.0,Oriana
